,count
YOU,2848
THE,2330
I,2217
A,1662
TO,1442
AND,948
IT,895
THAT,866
IN,814
OF,778
WHAT,743
ME,701
THIS,690
MY,649
YOUR,646
HE,620
IS,571
KNOW,565
WAS,544
ON,529
ALL,501
IT'S,492
FOR,484
WITH,478
DON'T,457
I'M,454
GOT,416
UP,402
SO,393
NO,372
RIGHT,369
DO,357
LIKE,356
ABOUT,356
WE,355
YOU'RE,351
HIM,349
NOT,340
YEAH,331
BUT,331
BE,328
OH,327
GET,307
OUT,305
HERE,302
HAVE,292
AT,291
ARE,290
JUST,288
THERE,287
THAT'S,262
GO,259
HIS,253
HE'S,246
FUCKING,243
WELL,241
THEY,226
HOW,226
GONNA,225
NOW,225
TONY,225
COME,215
FUCK,214
ONE,209
SHE,192
HAD,192
THINK,192
WERE,192
IF,190
GOOD,190
SOME,185
CAN,182
SAY,178
HER,176
OVER,169
SEE,168
FUCKIN',168
HEY,165
I'LL,165
WANT,161
WHEN,161
FROM,158
SAID,156
SHIT,151
WHY,151
TAKE,148
LOOK,147
GOTTA,140
BEEN,140
COULD,138
AN,137
TELL,136
DID,136
OR,132
OKAY,131
WHAT'S,131
DOWN,128
BACK,128
DIDN'T,128
AS,118
TIME,118
THING,115
US,115
MORNING,111
LA,110
WANNA,109
LITTLE,108
GUY,108
CALL,107
SHOULD,103
THEN,103
WHERE,103
TOLD,102
,100
HUH,100
CAN'T,99
SOMETHING,97
MAN,96
WHO,94
WAY,94
EVEN,94
OUR,94
YOURSELF,94
MAYBE,93
OFF,93
TOO,92
WOKE,91
MEAN,91
REALLY,91
OTHER,91
NEVER,91
NIGHT,90
GOD,89
NEED,87
JESUS,85
SHE'S,84
BY,84
GIVE,83
LET,82
TWO,82
MAKE,80
TALK,80
STILL,80
WE'RE,79
COUSIN,79
ALWAYS,78
BAD,77
THEM,76
PUT,76
GUYS,76
MORE,76
GOING,76
THANK,76
PEOPLE,75
NICE,74
AM,74
WOULD,73
KID,73
NEW,72
LOVE,71
INTO,71
EYES,71
HOME,71
WILL,71
UH,70
YEARS,70
THOUGHT,70
CAR,69
THESE,69
MOON,68
YA,68
HELLO,68
VERY,67
BLUE,67
DAY,67
THERE'S,67
HOUSE,66
MOTHER,65
DOING,65
THOSE,65
'CAUSE,64
LAST,64
THINGS,64
ANYTHING,63
WENT,62
SURE,62
AWAY,62
UNCLE,61
MUCH,61
ANY,61
SORRY,60
LIFE,58
GUN,58
FINE,58
JOHN,58
ELSE,57
AFTER,56
TON',55
LOT,55
ANYWAY,55
ONLY,54
KEEP,54
BELIEVE,54
PLEASE,54
GREAT,54
MONEY,53
UNDER,53
FRIEND,52
BECAUSE,52
HEAR,52
EVERYBODY,51
THANKS,51
OLD,51
AROUND,50
THAN,50
AGAIN,50
WRONG,49
FAMILY,48
PHIL,48
THEY'RE,48
HAPPENED,48
BEFORE,48
LONG,47
ANTHONY,47
CALLED,47
BUSINESS,46
FATHER,46
NEXT,45
CHRIST,45
TALKING,45
FIRST,45
EVERY,44
SCHOOL,44
BETTER,44
SAW,44
STAY,44
SAME,43
LISTEN,43
WASN'T,43
KIDS,42
SIGN,42
LET'S,42
WHATEVER,42
MADE,42
PROBLEM,42
HOW'S,42
WORK,42
BABY,42
ASK,42
REMEMBER,42
BIG,41
JOHNNY,41
HELP,41
BORN,40
WANTED,40
I'D,40
PLACE,40
THOUGH,40
HEARD,40
HAS,39
EASY,39
SOMEBODY,39
DAD,39
CARMINE,39
USED,39
EVER,38
WAIT,38
MR,38
SINCE,38
CHRISTOPHER,38
SON,38
STOP,37
KNOWS,37
FEEL,36
CAME,36
BROTHER,36
AJ,36
THEIR,36
NOTHING,36
TOOK,36
WE'LL,35
DOES,35
I'VE,35
OPEN,35
LOOKING,35
YES,35
SOPRANO,35
DOIN',35
WHOA,34
THROUGH,34
HI,34
GETTING,34
WHOLE,34
PROBABLY,34
YOU'D,33
MEET,33
CARE,33
USE,33
PHONE,33
LIVE,33
SUPPOSED,33
BEST,33
ENOUGH,32
COURSE,32
WEEK,32
LEFT,32
OWN,32
DONE,32
COUPLE,31
ACTUALLY,31
ANOTHER,31
MILLION,31
KNEW,31
MATTER,31
GOIN',31
HEAD,31
FORGET,31
THINKING,31
THREE,31
AH,31
EVERYTHING,31
PAULIE,31
START,30
GODDAMN,30
GUESS,30
WORLD,30
ONCE,30
ASS,30
YOU'VE,30
SHAME,30
HE'LL,30
FIND,30
BEING,30
DINNER,29
EAT,29
JOB,29
AIN'T,29
PARTY,29
LEAVE,29
TRY,29
ISN'T,29
STUFF,29
TOGETHER,29
KIND,29
SIT,29
PAY,28
TRYING,28
SAYS,28
FRIENDS,28
CARMELA,28
COMING,28
MIGHT,28
'EM,28
DOESN'T,27
GONE,27
SHINE,27
WANTS,26
COULDN'T,26
HARD,26
TIMES,26
NAME,26
AGO,25
BOTH,25
ADRIANA,25
SEND,25
WOMAN,25
GIRL,25
HAPPEN,25
DIFFERENT,25
YEAR,25
WHICH,25
WOULDN'T,25
WITHOUT,24
WIFE,24
DOCTOR,24
GAVE,24
TOV,24
ALREADY,24
TALKIN',24
BULLSHIT,24
POINT,24
WHERE'S,23
DAYS,23
BOBBY,23
WHILE,23
LATER,23
TURNED,23
YORK,23
DOOR,23
ALMOST,23
END,23
SHOW,22
MAY,22
TODAY,22
MINUTE,22
BEAUTIFUL,22
GOES,22
ALONE,22
TOP,22
ROOM,22
NOTHIN',22
GAME,22
SOMETHIN',21
FIVE,21
BOSS,21
LATE,21
MYSELF,21
PRETTY,21
CLUB,21
STREET,21
IMPORTANT,21
WHAT'D,21
HAPPY,21
AUNT,21
HAVING,21
YOU'LL,21
MANY,20
WHO'S,20
JANICE,20
HOLD,20
JUNIOR,20
COULD'VE,20
CRAZY,20
LOOKS,20
YOUNG,20
HUSBAND,20
STUPID,20
GETS,20
DEAD,20
HIT,20
SICK,20
FEECH,20
WON'T,20
BLUES,20
MIND,19
CHRISSY,19
T,19
HELL,19
HOUR,19
KILL,19
CUT,19
COFFEE,19
RUN,19
OUTTA,19
TAKING,19
IDEA,19
TILL,19
NUMBER,19
SEEN,19
ANYMORE,18
WALK,18
HONEY,18
SLEEP,18
JERSEY,18
TOWN,18
BIRTHDAY,18
RELAX,18
DEAL,18
FULL,18
